column_id,column_name,column_type,section,join_target
rated_voltage_unit,Rated voltage (raw unit),enum,,
max_current_unit_a,Maximum current (A),number,,
max_current_magnitude,Maximum current (raw magnitude),number,,
max_current_unit,Maximum current (raw unit),enum,,
type_of_current,Type of current,enum,,
frequency_of_current,Frequency of current,enum,,
generator_fuel,Generator fuel,enum,,
generator_apparent_power_unit_w,Generator apparent power (W),number,,
generator_apparent_power_unit_kw,Generator apparent power (kW),number,,
generator_apparent_power_unit_kva,Generator apparent power (kVA),number,,
generator_apparent_power_magnitude,Generator apparent power (raw magnitude),number,,
generator_apparent_power_unit,Generator apparent power (raw unit),enum,,
engine_cooling_system,Engine cooling system,enum,,
pv_panel_type,PV panel type,enum,,
number_pv_panels,Total number of PV panels,number,,
electrical_type,Electrical type,enum,,
electrical_power_device_type,Electrical power device type,enum,,
meter_id,Meter ID,text,,
meter_type,Meter type,enum,,
meter_design,Meter design,enum,,
meter_min_flow_rate_unit_m3_s,Minimum measurable flow rate (m³/s),number,,
meter_min_flow_rate_unit_m3_d,Minimum measurable flow rate (m³/d),number,,
meter_min_flow_rate_unit_l_s,Minimum measurable flow rate (L/s),number,,
meter_min_flow_rate_unit_l_d,Minimum measurable flow rate (L/d),number,,
meter_min_flow_rate_unit_gal_m,Minimum measurable flow rate (gal/min (gpm)),number,,
meter_min_flow_rate_unit_gal_d,Minimum measurable flow rate (gal/d),number,,
meter_min_flow_rate_unit_m3_h,Minimum measurable flow rate (m³/h),number,,
meter_min_flow_rate_unit_l_m,Minimum measurable flow rate (L/min),number,,
meter_min_flow_rate_magnitude,Minimum measurable flow rate (raw magnitude),number,,
meter_min_flow_rate_unit,Minimum measurable flow rate (raw unit),enum,,
meter_measurement_type,Meter measurement type,enum,,
sampling_point_type,Sampling point type,enum,,
regulatory_compliance_point,Regulatory compliance point,boolean,,
autosampler_installed,Autosampler installed,boolean,,
sensor_type,Sensor type,enum,,
gas_measured,Gas measured,enum,,
gases_measured,Gases measured,text,,
analyzer_type,Analyzer type,enum,,
parameters_measured,Parameters measured,text,,
transmission_method,Transmission method,enum,,
pump_type,Pump type,enum,,
pump_diameter_unit_m,Pump diameter (m),number,,
pump_diameter_unit_cm,Pump diameter (cm),number,,
pump_diameter_unit_mm,Pump diameter (mm),number,,
pump_diameter_unit_in,Pump diameter (in),number,,
pump_diameter_magnitude,Pump diameter (raw magnitude),number,,
pump_diameter_unit,Pump diameter (raw unit),enum,,
pump_power_rating_unit_w,Pump power rating (W),number,,
pump_power_rating_unit_kw,Pump power rating (kW),number,,
pump_power_rating_unit_hp,Pump power rating (hp),number,,
pump_power_rating_magnitude,Pump power rating (raw magnitude),number,,
pump_power_rating_unit,Pump power rating (raw unit),enum,,
pump_motor_configuration,Pump motor configuration,enum,,
pump_motor_voltage_type,Pump motor voltage type,enum,,
pump_motor_voltage_unit_v,Pump motor voltage (V),number,,
pump_motor_voltage_unit_kv,Pump motor voltage (kV),number,,
pump_motor_voltage_magnitude,Pump motor voltage (raw magnitude),number,,
pump_motor_voltage_unit,Pump motor voltage (raw unit),enum,,
