attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
30153,Casing material,Source,Choice,entities.water_asset,casing_material,Casing material,enum,exact_name,1
30154,Screen length,Source,Unit,entities.water_asset,screen_length_magnitude,Screen length (raw magnitude),number,unit_family,1
30155,Pump position,Source,Unit,entities.water_asset,pump_position_magnitude,Pump position (raw magnitude),number,unit_family,1
30156,Photo of well log,Source,Image,entities.water_asset,photo_of_well_log,Photo of well log,imagelist,exact_name,1
30201,Pump type,Pump,Choice,entities.water_asset,pump_type,Pump type,enum,exact_name,1
30202,Pump diameter,Pump,Unit,entities.water_asset,pump_diameter_magnitude,Pump diameter (raw magnitude),number,unit_family,1
30203,Pump power rating,Pump,Unit,entities.water_asset,pump_power_rating_magnitude,Pump power rating (raw magnitude),number,unit_family,1
30204,Pump motor configuration,Pump,Choice,entities.water_asset,pump_motor_configuration,Pump motor configuration,enum,exact_name,1
30205,Pump motor voltage type,Pump,Choice,entities.water_asset,pump_motor_voltage_type,Pump motor voltage type,enum,exact_name,1
30206,Pump motor voltage,Pump,Unit,entities.water_asset,pump_motor_voltage_magnitude,Pump motor voltage (raw magnitude),number,unit_family,1
30207,Pump motor max current,Pump,Unit,entities.water_asset,pump_motor_max_current_magnitude,Pump motor max current (raw magnitude),number,unit_family,1
30208,Pump motor max power,Pump,Unit,entities.water_asset,pump_motor_max_power_magnitude,Pump motor max power (raw magnitude),number,unit_family,1
30221,Design flow,Pump,Unit,entities.water_asset,design_flow_magnitude,Design flow (raw magnitude),number,unit_family,1
30222,Design head,Pump,Unit,entities.water_asset,design_head_magnitude,Design head (raw magnitude),number,unit_family,1
30223,Maximum flow (Q-max),Pump,Unit,entities.water_asset,pump_maximum_flow_magnitude,Maximum flow (Q-max) (raw magnitude),number,unit_family,1
30224,Head at maximum flow (H-min),Pump,Unit,entities.water_asset,pump_h_min_magnitude,Head at maximum flow (H-min) (raw magnitude),number,unit_family,1
30225,Minimum flow (Q-min),Pump,Unit,entities.water_asset,pump_q_min_magnitude,Minimum flow (Q-min) (raw magnitude),number,unit_family,1
30226,Head at minimum flow (H-Max),Pump,Unit,entities.water_asset,pump_h_max_magnitude,Head at minimum flow (H-Max) (raw magnitude),number,unit_family,1
