column_id,enum_id,enum_name
overflow_function,combined_sewer_overflow,Combined sewer overflow
overflow_function,storage_or_basin_overflow,Storage or basin overflow
overflow_function,process_or_clarifier_overflow,Process or clarifier overflow
overflow_function,emergency_overflow,Emergency overflow
overflow_function,flow_splitting,Flow splitting
overflow_function,level_control,Level control
overflow_function,other,Other
structure_type,building,Building
structure_type,perimeter,Perimeter
structure_type,road,Road
structure_type,apron,Apron
structure_type,discharge_structure,Discharge structure
structure_type,utility_vault,Utility vault
structure_type,vehicle_washing_bay,Vehicle washing bay
structure_type,flood_protection_bund,Flood protection bund
structure_type,other,Other
perimeter_type,fence,Fence
perimeter_type,wall,Wall
perimeter_type,other,Other
perimeter_total_length_unit,m,meters
perimeter_total_length_unit,ft,feet
perimeter_total_length_unit,km,kilometers
perimeter_total_length_unit,yd,yards
perimeter_total_length_unit,mi,miles
perimeter_height_unit,m,meters
perimeter_height_unit,km,kilometers
perimeter_height_unit,ft,feet
perimeter_height_unit,yd,yards
perimeter_height_unit,mi,miles
perimeter_setback_distance_unit,m,meters
perimeter_setback_distance_unit,km,kilometers
perimeter_setback_distance_unit,ft,feet
perimeter_setback_distance_unit,yd,yards
perimeter_setback_distance_unit,mi,miles
power_type,grid,Grid
power_type,generator,Generator
power_type,solar,Solar
power_type,wind,Wind
power_type,other,Other
rated_power_unit,w,watts
rated_power_unit,kw,kilowatts
rated_power_unit,hp,horsepower
max_power_unit,w,watts
max_power_unit,kw,kilowatts
max_power_unit,hp,horsepower
nominal_voltage_unit,v,volts
nominal_voltage_unit,kv,kilovolts
rated_voltage_unit,v,volts
rated_voltage_unit,kv,kilovolts
max_current_unit,a,amperes
type_of_current,single_phase_ac,Single phase AC
type_of_current,three_phase_ac,Three phase AC
type_of_current,dc,DC
frequency_of_current,sixty_hz,60 Hz
frequency_of_current,fifty_hz,50 Hz
frequency_of_current,other,Other
generator_fuel,gasoline,Gasoline or petrol
generator_fuel,diesel,Diesel
generator_fuel,other,Other
generator_apparent_power_unit,w,watts
generator_apparent_power_unit,kw,kilowatts
generator_apparent_power_unit,kva,kilovolt-amps
engine_cooling_system,air,Air
engine_cooling_system,liquid,Liquid
pv_panel_type,polycrystalline,Polycrystalline
pv_panel_type,monocrystalline,Monocrystalline
pv_panel_type,thin_film,Thin film
pv_panel_type,other,Other
electrical_type,motor,Motor
electrical_type,actuator,Actuator
electrical_type,power_device,Power device
electrical_type,electronic,Electronic
electrical_type,heater,Heater
electrical_type,blower,Blower
electrical_type,other,Other
electrical_power_device_type,control_panel,Control panel
electrical_power_device_type,circuit_breaker,Circuit breaker
electrical_power_device_type,ups,Uninterruptible power supply (UPS)
electrical_power_device_type,transformer,Transformer
electrical_power_device_type,power_conditioner,Power conditioner
electrical_power_device_type,switch,Switch
electrical_power_device_type,motor_controller,Motor controller
electrical_power_device_type,inverter,Inverter
meter_type,influent,Influent
meter_type,effluent,Effluent
meter_type,sludge_or_septage,Sludge or septage
meter_type,reclaimed_or_reuse_water,Reclaimed or reuse water
meter_type,process_or_intermediate,Process or intermediate
meter_type,other,Other
meter_design,electromagnetic,Electromagnetic
meter_design,ultrasonic,Ultrasonic
meter_design,mechanical,Mechanical
meter_design,flume,Flume
meter_design,weir_with_level_sensor,Weir with level sensor
meter_design,other,Other
meter_min_flow_rate_unit,m3_s,cubic meters per second
meter_min_flow_rate_unit,m3_d,cubic meters per day
meter_min_flow_rate_unit,l_s,liters per second
meter_min_flow_rate_unit,l_d,liters per day
meter_min_flow_rate_unit,gal_m,gallons per minute
meter_min_flow_rate_unit,gal_d,gallons per day
meter_min_flow_rate_unit,m3_h,cubic meters per hour
meter_min_flow_rate_unit,l_m,liters per minute
meter_measurement_type,total,Total volume
meter_measurement_type,flow_rate,Flow rate
meter_measurement_type,combined,Combined
sampling_point_type,influent,Influent
sampling_point_type,effluent,Effluent
sampling_point_type,process_or_intermediate,Process or intermediate
sampling_point_type,sludge,Sludge
sampling_point_type,receiving_water,Receiving water
sampling_point_type,industrial_discharge,Industrial discharge
