column_id,enum_id,enum_name
pump_motor_voltage_type,dc,DC
pump_motor_voltage_unit,v,volts
pump_motor_voltage_unit,kv,kilovolts
pump_motor_max_current_unit,a,amperes
pump_motor_max_power_unit,w,watts
pump_motor_max_power_unit,kw,kilowatts
pump_motor_max_power_unit,hp,horsepower
design_flow_unit,m3_s,cubic meters per second
design_flow_unit,l_s,liters per second
design_flow_unit,gal_m,gallons per minute
design_flow_unit,m3_hr,cubic meters per hour
design_flow_unit,l_m,liters per minute
design_head_unit,pa,pascal
design_head_unit,kpa,kilopascals
design_head_unit,psi,pounds per square inch
design_head_unit,ft_water,feet of water (39.2 F)
design_head_unit,m_water,meters of water (4 C)
design_head_unit,in_water,inches of water (39.2 F)
design_head_unit,cm_water,centimeters of water (4 C)
pump_maximum_flow_unit,m3_s,cubic meters per second
pump_maximum_flow_unit,l_s,liters per second
pump_maximum_flow_unit,gal_m,gallons per minute
pump_maximum_flow_unit,m3_h,cubic meters per hour
pump_maximum_flow_unit,l_m,liters per minute
pump_h_min_unit,pa,pascal
pump_h_min_unit,kpa,kilopascals
pump_h_min_unit,psi,pounds per square inch
pump_h_min_unit,in_water,inches of water (39.2 F)
pump_h_min_unit,cm_water,centimeters of water (4 C)
pump_h_min_unit,in_water,inches of water (39.2 F)
pump_h_min_unit,m_water,meters of water (4 C)
pump_q_min_unit,m3_s,cubic meters per second
pump_q_min_unit,l_s,liters per second
pump_q_min_unit,gal_m,gallons per minute
pump_q_min_unit,m3_h,cubic meters per hour
pump_q_min_unit,l_m,liters per minute
pump_h_max_unit,pa,pascal
pump_h_max_unit,kpa,kilopascals
pump_h_max_unit,psi,pounds per square inch
pump_h_max_unit,ft_water,feet of water (39.2 F)
pump_h_max_unit,in_water,inches of water (39.2 F)
pump_h_max_unit,cm_water,centimeters of water (4 C)
pump_h_max_unit,m_water,meters of water (4 C)
pump_npsh_r_unit,pa,pascal
pump_npsh_r_unit,kpa,kilopascals
pump_npsh_r_unit,psi,pounds per square inch
pump_npsh_r_unit,ft_water,feet of water (39.2 F)
pump_npsh_r_unit,in_water,inches of water (39.2 F)
pump_npsh_r_unit,cm_water,centimeters of water (4 C)
pump_npsh_r_unit,m_water,meters of water (4 C)
