attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
20102,Process area type,Facility,Text,entities.sanitation_asset,process_area_type,Process area type,text,exact_name,1
20103,Equipped to receive faecal sludge,Facility,Checkbox,entities.sanitation_asset,receives_faecal_sludge,Equipped to receive faecal sludge,boolean,exact_name,1
31501,Sanitation point type,Sanitation point,Choice,entities.sanitation_asset,sanitation_point_type,Sanitation point type,enum,exact_name,1
31505,Number of cubicles or stances,Sanitation point,Number,entities.sanitation_asset,number_of_cubicles,Number of cubicles or stances,number,exact_name,1
31507,Usage arrangement,Sanitation point,Choice,entities.sanitation_asset,usage_arrangement,Usage arrangement,enum,exact_name,1
31509,Separate facilities for women and girls,Sanitation point,Checkbox,entities.sanitation_asset,separate_facilities_women_girls,Separate facilities for women and girls,boolean,exact_name,1
31510,Pan style,Sanitation point,Choice,entities.sanitation_asset,pan_style,Pan style,enum,exact_name,1
32201,Connection type,Connection,Choice,entities.sanitation_asset,connection_type,Connection type,enum,exact_name,1
32202,Customer ID,Connection,Text,entities.sanitation_asset,customer_id,Customer ID,text,exact_name,1
32203,Connection status,Connection,Choice,entities.sanitation_asset,connection_status,Connection status,enum,exact_name,1
32204,Interceptor tank installed,Connection,Checkbox,entities.sanitation_asset,interceptor_tank_installed,Interceptor tank installed,boolean,exact_name,1
32205,Backflow prevention installed,Connection,Checkbox,entities.sanitation_asset,backflow_prevention_installed,Backflow prevention installed,boolean,exact_name,1
31601,Containment type,Containment,Choice,entities.sanitation_asset,containment_type,Containment type,enum,exact_name,1
31602,Number of compartments,Containment,Number,entities.sanitation_asset,number_of_compartments,Number of compartments,number,exact_name,1
31603,Storage volume,Containment,Unit,entities.sanitation_asset,storage_volume_magnitude,Storage volume (raw magnitude),number,unit_family,1
31609,Containment depth,Containment,Unit,entities.sanitation_asset,containment_depth_magnitude,Containment depth (raw magnitude),number,unit_family,1
31604,Lined or sealed,Containment,Choice,entities.sanitation_asset,lined_or_sealed,Lined or sealed,enum,exact_name,1
31605,Outlet arrangement,Containment,Choice,entities.sanitation_asset,outlet_arrangement,Outlet arrangement,enum,exact_name,1
31606,Emptying access,Containment,Choice,entities.sanitation_asset,emptying_access,Emptying access,enum,exact_name,1
31607,Number of users sharing,Containment,Number,entities.sanitation_asset,number_users_sharing,Number of users sharing,number,exact_name,1
31701,Vehicle type,Vehicle,Choice,entities.sanitation_asset,vehicle_type,Vehicle type,enum,exact_name,1
31702,Registration number,Vehicle,Text,entities.sanitation_asset,registration_number,Registration number,text,exact_name,1
