attribute_code,choice_id,choice_name,description
30702,switch,Switch,Device to disconnect or connect the conducting path in an electrical circuit
30702,motor_controller,Motor controller,"Device that controls the operation of an electric motor, such as a starter, soft starter, or variable frequency drive (VFD)"
30702,inverter,Inverter,Device for converting direct current into alternating current
30602,influent,Influent,"Measures the flow of untreated wastewater or faecal sludge entering the sanitation system, a treatment plant, or a specific treatment unit"
30602,effluent,Effluent,"Measures the discharge of treated effluent from a treatment plant or unit to disposal, typically for regulatory compliance"
30602,sludge_or_septage,Sludge or septage,"Measures flow of sludge, faecal sludge, or septage between treatment units or during transfer"
30602,reclaimed_or_reuse_water,Reclaimed or reuse water,"Measures treated effluent supplied to a reuse customer or reclamation system, functioning like a customer water meter for billing and delivery"
30602,process_or_intermediate,Process or intermediate,Measures flow between unit processes within a treatment train
30602,other,Other,Any other metering function not otherwise described in this section
30603,electromagnetic,Electromagnetic,"Measures the induced voltage generated by a conductive fluid, such as wastewater or sludge, flowing through a sensor"
30603,ultrasonic,Ultrasonic,Measures flow velocity by transmitting and receiving sound waves through the flow path; tolerant of solids and grease
30603,mechanical,Mechanical,"Turbine, displacement, or jet meter that measures flow using moving mechanical components; prone to fouling by solids"
30603,flume,Flume,"Shaped open channel, such as a Parshall flume, installed primarily to measure flow through a known relationship between depth and flow rate; a flume serving mainly control or relief functions is registered as a Flow control asset"
30603,weir_with_level_sensor,Weir with level sensor,"Weir paired with a level sensor that calculates flow rate from the measured head over the crest, installed primarily for measurement; a weir serving mainly overflow or control functions is registered as a Flow control asset"
30603,other,Other,Any other type of meter not otherwise described in this section
30605,total_volume,Total volume,"Totalizing meter, which displays only the total volume that has flowed through the meter"
30605,flow_rate,Flow rate,Instantaneous measurement of the current flow rate through the meter
30605,combined,Combined,Meter displays both the total volume and the instantaneous flow rate
31101,influent,Influent,Point where a sample of untreated wastewater or faecal sludge entering the system or a treatment plant is collected
31101,effluent,Effluent,"Point where a sample of treated effluent leaving a treatment plant or unit is collected, often for regulatory compliance"
31101,process_or_intermediate,Process or intermediate,Point between treatment units where a sample is collected to monitor process performance
31101,sludge,Sludge,"Point where a sample of sludge, faecal sludge, or septage is collected"
31101,receiving_water,Receiving water,Point in the water body receiving the discharge where a sample is collected to assess environmental impact
31101,industrial_discharge,Industrial discharge,Point at an industrial user's connection where a sample is collected to verify pretreatment compliance
31101,other,Other,Any type of sampling point not otherwise defined in this section
31201,level,Level,"Height or depth of wastewater or sludge, measured from a known reference point"
31201,pressure,Pressure,Force pushing on a unit area
31201,gas,Gas,"Presence or concentration of a hazardous or asphyxiant gas, such as hydrogen sulfide (H2S), methane (CH4), or oxygen (O2), typically for confined-space monitoring in wet wells, manholes, or lift stations"
31201,rainfall,Rainfall,"Amount or intensity of precipitation, used to correlate infiltration/inflow or combined sewer overflow (CSO) events with rainfall"
31201,temperature,Temperature,"Temperature of wastewater, sludge, or ambient air, used to monitor process conditions such as digestion"
31201,moisture,Moisture,Presence or absence of water in contact with the sensor
31201,current,Current,Rate of flow of electric charge through a unit area
31201,voltage,Voltage,Electrical pressure available to cause a flow of current
31201,other,Other,Any other parameter not otherwise defined in this section
31202,hydrogen_sulfide_h2s,Hydrogen sulfide (H2S),Toxic gas produced by anaerobic decomposition of sewage
31202,methane_ch4,Methane (CH4),Flammable gas produced by anaerobic digestion of organic matter
31202,oxygen_o2,Oxygen (O2),"Oxygen concentration, monitored for confined-space entry or aeration"
31202,ammonia_nh3,Ammonia (NH3),Toxic gas released from sewage and sludge handling
31202,carbon_monoxide_co,Carbon monoxide (CO),Toxic combustion gas monitored in confined spaces
31202,multi_gas,Multi-gas,Sensor measures several gases in one instrument
31202,other,Other,Any other gas not otherwise described in this section
31301,ph,pH,Measures the acidity or alkalinity of the stream
31301,dissolved_oxygen_do,Dissolved oxygen (DO),"Measures dissolved oxygen concentration, such as in aeration basins"
31301,turbidity,Turbidity,Measures suspended particulate cloudiness of the stream
31301,ammonia,Ammonia,Measures ammonia or ammonium concentration
31301,nitrate,Nitrate,"Measures nitrate concentration, such as for denitrification control"
31301,total_nitrogen_or_tkn,Total nitrogen or TKN,"Measures nitrogen in aggregate rather than as a single species: Kjeldahl nitrogen, which combines organic and ammonia nitrogen, or total nitrogen, which also includes nitrite and nitrate; use Ammonia or Nitrate where a single species is monitored"
31301,phosphate_or_total_phosphorus,Phosphate or total phosphorus,"Measures phosphorus in the stream, either as reactive orthophosphate to control chemical or biological phosphorus removal, or as total phosphorus across all forms present for discharge compliance"
31301,cod_or_bod,COD or BOD,Measures chemical or biochemical oxygen demand of the stream
31301,total_organic_carbon_toc,Total organic carbon (TOC),"Measures organically bound carbon in the stream, giving a same-shift indication of organic strength where the delay of a five-day BOD test is impractical"
31301,suspended_solids,Suspended solids,Measures total suspended solids or mixed liquor solids concentration
31301,orp,ORP,Measures oxidation-reduction potential of the stream
31301,chlorine,Chlorine,"Measures free or total chlorine residual, used to set the disinfection dose and to confirm that residual has been removed before effluent is discharged"
31301,conductivity,Conductivity,Measures electrical conductivity of the stream
31301,multiparameter,Multiparameter,Analyzer measures several parameters in one instrument
31301,other,Other,Any other parameter not otherwise described in this section
32301,none_manual_download,None (manual download),Data are stored on the device and collected manually
32301,cellular_network,Cellular network,"Data are transmitted over a mobile network, such as GSM, GPRS, or LTE"
32301,radio,Radio,Data are transmitted by a licensed or unlicensed radio link
32301,satellite,Satellite,Data are transmitted via a satellite uplink
32301,other,Other,Any other transmission method not described in this section
30201,submersible_non_clog_vortex,Submersible non-clog/vortex,"Electrically powered pump with an open, recessed, or vortex impeller designed to pass solids without clogging; used in wet wells and lift stations"
30201,grinder,Grinder,Submersible pump fitted with a cutting or shredding mechanism that macerates solids before pumping; common in low-pressure sewer systems
30201,screw_archimedes,Screw (Archimedes),"Inclined rotating screw that lifts wastewater or sludge within an open trough; tolerant of large solids and debris, common at headworks"
