code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
31501,Sanitation point type,type_specific,,Sanitation point,sanitation_point,Choice,,,Type of technology used by the sanitation point to collect user excreta across sewered and non-sewered systems,,,Sanitation point info
31505,Number of cubicles or stances,type_specific,,Sanitation point,sanitation_point,Number,,,"Total number of individual cubicles, stances, or seats available at the sanitation point",,,Sanitation point info
31507,Usage arrangement,type_specific,,Sanitation point,sanitation_point,Choice,,,Categorization of the sanitation point by who uses it and how access is arranged,,,Sanitation point info
31509,Separate facilities for women and girls,type_specific,,Sanitation point,sanitation_point,Checkbox,,,"Sanitation point provides separate, private cubicles or blocks designated for use by women and girls","Usage arrangement: Shared (limited number of households), Communal or public, Institutional",,Sanitation point info
31510,Pan style,type_specific,,Sanitation point,sanitation_point,Choice,,,Style of toilet pan or seat installed,,,Sanitation point info
32201,Connection type,type_specific,,Connection,connection,Choice,,,Categorization of the connection based on the type of user or customer premises served,,,Connection info
32202,Customer ID,type_specific,,Connection,connection,Text,,,Identification code used by the billing or commercial system for the customer or property served by this connection,,,Connection info
32203,Connection status,type_specific,,Connection,connection,Choice,,,Current service status of the connection,,,Connection info
32204,Interceptor tank installed,type_specific,,Connection,connection,Checkbox,,,"An interceptor tank, such as a septic tank, is installed upstream of this connection to retain settleable solids before discharge to the network (settled or solids-free sewerage)",,,Connection info
32205,Backflow prevention installed,type_specific,,Connection,connection,Checkbox,,,A non-return valve or other backflow-prevention device is installed on the connection to prevent sewer surcharge from flowing back into the property,,,Connection info
31601,Containment type,type_specific,,Containment,containment,Choice,,,"Type of technology used to collect, store, and partially treat excreta and wastewater at or near the point of generation",,,Containment info
31602,Number of compartments,type_specific,,Containment,containment,Number,,,Number of separate chambers within the containment structure,,,Containment info
31603,Storage volume,type_specific,,Containment,containment,Unit,Volume,m³,Effective storage or holding capacity of the containment structure,,,Containment info
31609,Containment depth,type_specific,,Containment,containment,Unit,Length,m,"Vertical distance from the ground surface, slab, or access opening to the bottom of the containment structure; for pits, the excavated depth",,,Containment info
31604,Lined or sealed,type_specific,,Containment,containment,Choice,,,Degree to which the containment structure prevents infiltration of its contents into the surrounding soil,,,Containment info
31605,Outlet arrangement,type_specific,,Containment,containment,Choice,,,Categorization of where liquid effluent or overflow from the containment structure discharges,,,Containment info
31606,Emptying access,type_specific,,Containment,containment,Choice,,,Extent to which the containment structure can be physically accessed for emptying (desludging),,,Containment info
31607,Number of users sharing,type_specific,,Containment,containment,Number,,,Number of individual users that share use of this containment structure,,,Containment info
31701,Vehicle type,type_specific,,Vehicle,vehicle,Choice,,,"Categorization of the mobile asset used to empty, transport, or transfer faecal sludge, septage, or wastewater, or to maintain the collection network",,,Vehicle info
