code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
10207,Total production of system,type_specific,System,Water system,water_system,Unit,Flow rate,,"Amount of water that the system is able to supply, within current resource and design constraints",Type: Water system,,Water system info
20101,Water facility type,type_specific,Facility,Water facility,water_facility,Choice,,,,,,Water facility info
20102,Process area type,type_specific,Facility,Water facility,water_facility,Text,,,Optional label used to categorize process areas,Water facility type: Process area,,Water facility info
30101,Source type,type_specific,Vertical,Source,source,Choice,,,Characterization of the source based on type of technology,,,Source info
30102,Source meter installed,type_specific,Vertical,Source,source,Checkbox,,,Meter is installed at the source to measure total flow,,,Source info
30103,Water quality tested,type_specific,Vertical,Source,source,Checkbox,,,Water quality testing has been performed at this source,,,Source info
30104,Date of most recent sample,type_specific,Vertical,Source,source,Date,,,Calendar date of most recent water quality sampling at this source,Water quality tested: True,,Source info
30105,Name of water body,type_specific,Vertical,Source,source,Text,,,"Name of the water body supplying the source, if one exists",Source type: Intake,,Source info
30106,Source pressure,type_specific,Vertical,Source,source,Unit,Pressure,,"Pressure, or head, of the water leaving the source",Source type: Intake,,Source info
30107,Nominal flow,type_specific,Vertical,Source,source,Unit,Flow rate,,Typical or rated volumetric water flow rate that the source provides when operating as designed,,,Source info
30108,Minimum flow,type_specific,Vertical,Source,source,Unit,Flow rate,,Minimum Flow rate rate that the source provides during the driest period of the year,,,Source info
30109,Maximum flow,type_specific,Vertical,Source,source,Unit,Flow rate,,Maximum Flow rate rate that the source can accommodate during periods of high use or source water availability,,,Source info
30121,Well depth,type_specific,Vertical,Source,source,Unit,Length,,"Depth below the ground surface to which the well was drilled, driven, or dug; in boreholes, this may differ from the casing depth","Source type: Borehole, Dug well",,Well data
30122,Well diameter,type_specific,Vertical,Source,source,Unit,Length,,"Inside diameter of the well; in boreholes, this is the drilled diameter, which will differ from the casing diameter","Source type: Borehole, Dug well",,Well data
30123,Static water level,type_specific,Vertical,Source,source,Unit,Length,,Water level below the ground measured when no water is being taken from the aquifer by pumping,"Source type: Borehole, Dug well",,Well data
30124,Dynamic water level,type_specific,Vertical,Source,source,Unit,Length,,Water level below the ground measured when a pump is operating,"Source type: Borehole, Dug well",,Well data
30125,Groundwater temperature,type_specific,Vertical,Source,source,Unit,Temperature,,Temperature of groundwater in the aquifer or discharged by a pump,"Source type: Borehole, Dug well",,Well data
30126,Pump or lifting device,type_specific,Vertical,Source,source,Choice,,,,"Source type: Borehole, Dug well",,Well data
30127,Apron installed,type_specific,Vertical,Source,source,Checkbox,,,Apron is installed to protect the well from back-contamination by surface water and to channel drainage away from the well,"Source type: Borehole, Dug well",,Well data
30128,Monitoring well,type_specific,Vertical,Source,source,Checkbox,,,Well is primarily used for monitoring water levels and/or water quality rather than for water production,"Source type: Borehole, Dug well",,Well data
30141,Spring box present,type_specific,Vertical,Source,source,Checkbox,,,"Protective brick, masonry, or concrete structure is installed around the spring so that water flows directly out through a pipe",Source type: Spring,,Spring data
30142,Spring box length,type_specific,Vertical,Source,source,Unit,Length,,"Length of the longest side of the spring box, measured from the outside",Spring box present: True,,Spring data
30143,Spring box width,type_specific,Vertical,Source,source,Unit,Length,,"Length of the shortest side of the spring box, measured from the outside",Spring box present: True,,Spring data
30144,Spring box depth,type_specific,Vertical,Source,source,Unit,Length,,"Length of the vertical dimension of the spring box, measured from the outside",Spring box present: True,,Spring data
30145,Overflow pipe present,type_specific,Vertical,Source,source,Checkbox,,,Pipe is installed near the top of the spring box to allow water to exit when box is full,Source type: Spring,,Spring data
30146,Drain pipe present,type_specific,Vertical,Source,source,Checkbox,,,Pipe is installed near the bottom of the spring box to direct the flow from the spring,Source type: Spring,,Spring data
30151,Casing diameter,type_specific,Vertical,Source,source,Unit,Length,,Inside diameter of the well casing,Source type: Borehole,,Borehole data
30152,Depth of casing,type_specific,Vertical,Source,source,Unit,Length,,Depth below the ground to which the casing is installed; below this depth there would normally be a screen installed,Source type: Borehole,,Borehole data
30153,Casing material,type_specific,Vertical,Source,source,Choice,,,Well casing material,Source type: Borehole,,Borehole data
30154,Screen length,type_specific,Vertical,Source,source,Unit,Length,,"Length of the well screen, which is a sleeve with slots, holes, gauze, or wire wrap installed below the casing to allow entry of water and prevent entry of sand or other large particles",Source type: Borehole,,Borehole data
30155,Pump position,type_specific,Vertical,Source,source,Unit,Length,,Depth below ground to the top of a submersible pump,Pump or lifting device: Submersible,,Borehole data
30156,Photo of well log,type_specific,Vertical,Source,source,Image,,,"One or more photographs of the well log, or drilling log, which usually contains a record of the soil and rock formations (lithology) encountered during the drilling of the well; may also contain data on the casing and backfill used to reinforce the well",Source type: Borehole,,Borehole data
30201,Pump type,type_specific,Vertical,Pump,pump,Choice,,,Description of the pump mechanism or operating principle,,,Pump info
30202,Pump diameter,type_specific,Vertical,Pump,pump,Unit,Length,,Maximum outer diameter of a submersible pump,Pump type: Submersible,,Pump info
30203,Pump power rating,type_specific,Vertical,Pump,pump,Unit,Power,,"Power consumed by a pump operating under normal pressure and flow conditions, as defined by the manufacturer",Pump type: NOT Hand pump,,Pump info
30204,Pump motor configuration,type_specific,Vertical,Pump,pump,Choice,,,"Whether the motor and pump should be tracked as a single asset or as separate assets; in cases where the motor is separate from pump, this generally means that motors are interchangeable between pumps of a similar design",Pump type: NOT Hand pump,,Pump info
30205,Pump motor voltage type,type_specific,Vertical,Pump,pump,Choice,,,Type of electrical power required by the pump,Pump motor configuration: Integrated with pump,,Pump motor data
30206,Pump motor voltage,type_specific,Vertical,Pump,pump,Unit,Voltage,,"Normal operating voltage of the pump, as recommended by the manufacturer",Pump motor configuration: Integrated with pump,,Pump motor data
30207,Pump motor max current,type_specific,Vertical,Pump,pump,Unit,Current,,Current drawn by the pump when operating at the maximum or full load power rating,Pump motor configuration: Integrated with pump,,Pump motor data
30208,Pump motor max power,type_specific,Vertical,Pump,pump,Unit,Power,,"Maximum, or full load power rating of the pump, as recommended by the manufacturer",Pump motor configuration: Integrated with pump,,Pump motor data
30221,Design flow,type_specific,Vertical,Pump,pump,Unit,Flow rate,,Flow rate of the pump required by the system design under normal operating conditions; should be within the acceptable flow range as defined by the pump curve,,,Pump curve
30222,Design head,type_specific,Vertical,Pump,pump,Unit,Pressure,,"Head, or pressure, shown on the pump curve at the design flow rate",,,Pump curve
30223,Maximum flow (Q-max),type_specific,Vertical,Pump,pump,Unit,Flow rate,,Maximum possible flow rate shown on the pump curve,,,Pump curve
30224,Head at maximum flow (H-min),type_specific,Vertical,Pump,pump,Unit,Pressure,,"Total head, or pressure, that corresponds to the maximum flow rate on the pump curve; also referred to as the minimum head",,,Pump curve
30225,Minimum flow (Q-min),type_specific,Vertical,Pump,pump,Unit,Flow rate,,Minimum possible flow rate shown on the pump curve,,,Pump curve
30226,Head at minimum flow (H-Max),type_specific,Vertical,Pump,pump,Unit,Pressure,,"Total head, or pressure, that corresponds to the minimum flow rate on the pump curve; also referred to as the maximum head",,,Pump curve
30227,NPSH-R,type_specific,Vertical,Pump,pump,Unit,Pressure,,Net positive suction head required (or minimum) by the suction side of the pump in order to prevent cavitation and evaporation (flashing),,,Pump curve
30301,Tank type,type_specific,Vertical,Tank,tank,Choice,,,Characterization of the tank design,,,Tank info
30302,Tank material,type_specific,Vertical,Tank,tank,Choice,,,Main material of construction used in the tank,,,Tank info
30303,Tank volume,type_specific,Vertical,Tank,tank,Unit,Volume,,Useful volume of the tank which can be supplied from the minimum to the maximum water levels.,,,Tank info
30304,Tank shape,type_specific,Vertical,Tank,tank,Choice,,,Basic shape or form factor of the tank,,,Tank info
30311,Tank diameter,type_specific,Vertical,Tank,tank,Unit,Length,,Diameter of the base of a cylindrical tank,Tank shape: Cylindrical,,Tank dimensions
30312,Tank height,type_specific,Vertical,Tank,tank,Unit,Length,,"Distance from the bottom to the top of the tank, measured from outside",,,Tank dimensions
30313,Tank length,type_specific,Vertical,Tank,tank,Unit,Length,,Length of the longest side of the base of a rectangular tank,Tank shape: Rectangular,,Tank dimensions
30314,Tank width,type_specific,Vertical,Tank,tank,Unit,Length,,Length of the shortest side of the base of a rectangular tank,Tank shape: Rectangular,,Tank dimensions
